PRICE,TITLE,LOCATION,DETAILS,FEATURES,DESCRIPTIONS,IMAGE
1 380 000 TND,Immeuble comprend 27 appartements,"Bouhssina, Sousse Ville","['1050 m²', '27 Pièces', '2 Chambres', '1 Salle de bain']","['Ascenseur', 'Chauffage central', 'Cuisine équipée']","Immeuble est situé dans une zone à forte demande locative, à proximité de sept (7) facultés.Il comprend 27 appartements : onze (11) studios (S0), dix (10) S1 et six (6) S2, répartis sur un réez de chaussées et trois étages.cet immeuble offre un rendement locatif de 10 670 DT par mois, attirant ainsi une clientèle étudiante et professionnelle",https://www.mubawab-media.com/ad/8/247/986F/h/22_81424254.avif
230 000 TND,À VENDRE Maison Indépendante S3 à Hay Riadh,"Sousse Riadh, Sousse Ville","['420 m²', '4 Pièces', '3 Chambres', '2 Salles de bains']","['Terrasse', 'Ascenseur', 'Vue sur mer', 'Climatisation', 'Chauffage central']","À VENDRE – Maison indépendante à Hay Riadh, superficie 420 m².
Le rez-de-chaussée est composé d’un S3 (salon  3 chambres, cuisine, salle de bain) avec jardin et garage.
La maison dispose aussi d’un studio séparé (S0) avec entrée indépendante, idéal pour location ou espace privé.
Le 1er étage est en travaux, avec la dalle à finaliser, offrant la possibilité de construire un étage supplémentaire selon vos besoins.
Quartier calme, proche de tout...",https://www.mubawab-media.com/ad/8/329/174F/h/thumb_1307087_property_large_82239641.avif
280 000 TND,Bel Appartement S2 au plein cœur du Sousse cornic,"Sousse Corniche, Sousse Ville","['94 m²', '2 Pièces', '2 Chambres', '1 Salle de bain']",['Terrasse'],"Appartement Neuf  S2 , Haut Standing à Vendre
– première main
Investissement parfait pour habitation ou location haut de gamme.
Caractéristiques :
Finitions de qualité
Cuisine équipée moderne
Chauffage centrale
2ème étage avec Ascenseur
Titre individuel
Prix : 280.000 TND
TLF : 52 502 988 / 55 153 800 / 55 444 010
WhatsApp: 52 502 988 /55 153 800 / 55 444 010",https://www.mubawab-media.com/ad/8/148/387F/h/thumb_61271_property_xlarge_80331629.avif
450 000 TND,Appartement s3 vue de mer à vendre sousse,Sousse Ville,"['120 m²', '4 Pièces', '3 Chambres', '1 Salle de bain']","['Jardin', 'Terrasse', 'Garage', 'Ascenseur', 'Vue sur mer', 'Piscine', 'Concierge', 'Meublé', 'Façade extérieure', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","À Vendre - Superbe Appartement S3 avec Vue Imprenable sur la Mer à Sousse
 Découvrez ce magnifique appartement S3 idéalement situé à Sousse,

 offrant une vue panoramique à couper le souffle sur la mer depuis presque toutes les pièces ! 

**Caractéristiques principales : 

-Superficie : 120 m² 
-3 chambres à coucher, chacune équipée d’un dressing et bénéficiant d’une vue sur mer
- Salon spacieux avec accès à une terrasse privée vue mer
...",https://www.mubawab-media.com/ad/8/269/044F/h/gallery_81598542.avif
785 000 TND,Immeuble de 7 appartements avec un étage inachevé,"Bouhssina, Sousse Ville","['439 m²', '7 Pièces', '7 Chambres', '7 Salles de bains']","['Terrasse', 'Ascenseur', 'Concierge', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée']","Immeuble est situé dans une zone à forte demande locative, à proximité de sept (7) facultés .

Il comprend 7 appartements : deux (2) S3, S2, quatre (4) S1 , répartis sur un réez de chaussées et deux étages. Il dispose également d’un étage inachevé.

cet immeuble offre un rendement locatif de 4000 DT par mois, attirant ainsi une clientèle étudiante et professionnelle",https://www.mubawab-media.com/ad/8/273/708F/h/gallery_81648076.avif
67 000 TND,S2 en vente,"Bouhssina, Sousse Ville","['70 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Jardin', 'Terrasse', 'Garage', 'Ascenseur', 'Vue sur mer', 'Vue sur les montagnes', 'Piscine', 'Concierge', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","Appartement à la Cité Olympique Bouhssina, situé dans les immeubles de la SNIT, doté d’un titre individuel et proche de toutes commodités (bureau de poste, transports, etc.).L’appartement situé au 3 ème étage, se compose d’un salon lumineux grâce à son balcon, d’une cuisine rénovée, d’une salle de bain rénovée et de deux chambres",https://www.mubawab-media.com/ad/8/309/466F/h/628999308_1208326308127081_60088432074002849_n%20%281%29_82029420.avif
598 000 TND,À VENDRE Appartement S2 Haut Standing,"Chatt Meriem, Sousse Ville","['100 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Garage', 'Ascenseur', 'Vue sur mer', 'Concierge', 'Chambre rangement', 'Façade extérieure', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'Machine à laver', 'Micro-ondes']","À VENDRE – Appartement S2 Haut Standing Pieds dans l’Eau avec Parking Sous-Sol
Chatt Mariem

L’Agence Immobilière Ezzayatine vous propose un superbe appartement S2 situé au 4ème étage d’une résidence sécurisée avec piscine et accès direct à la plage, offrant un cadre de vie exceptionnel en bord de mer.

Composition :

Un salon lumineux

Une cuisine totalement équipée

Une salle de bain

Deux chambres à coucher dont une suite parental...",https://www.mubawab-media.com/ad/8/254/102F/h/WhatsApp%20Image%202025-11-17%20at%2003.09.19%282%29_81427716.avif
290 000 TND,À VENDRE Appartement S3 Haut Standing à hay tamir,"Sousse Medina, Sousse Ville","['100 m²', '4 Pièces', '3 Chambres', '1 Salle de bain']","['Jardin', 'Terrasse', 'Garage', 'Ascenseur', 'Piscine', 'Chambre rangement', 'Meublé', 'Façade extérieure', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","À VENDRE – Appartement S3 Haut Standing à Hay Taamir, Sousse

À vendre un appartement S3 haut standing situé à Hay Taamir, Sousse, dans une résidence moderne, calme et très bien entretenue.
Situé au 6ᵉ étage avec ascenseur, il offre une belle luminosité et un très bon confort.

Caractéristiques :

Surface : 100 m²

Chauffage central

Climatiseur

Résidence propre et sécurisée

Ascenseur

Quartier agréable et proche de toutes comm...",https://www.mubawab-media.com/ad/8/331/740F/h/668553069_122179860674786503_1240163023607649401_n_82265782.avif
Prix à consulter,Appartement Haut Standing Chatt Mariem,"Sousse Ville, Sousse Ville","['88 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Garage', 'Ascenseur', 'Vue sur mer', 'Piscine', 'Concierge', 'Façade extérieure', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage']","Appartement Haut Standing - Chatt Mariem

A vendre, un appartement de type S2 situé dans une résidence de prestige, sécurisée et avec piscine, à Chatt Mariem, Sousse.

Description du bien :

Emplacement : Pieds dans l'eau.

Vue : Le salon ainsi que la chambre à coucher offrent une vue frontale et directe sur la mer.

Composition : Un salon spacieux, deux chambres à coucher, une cuisine équipée et une salle de bain.

Équipements : Plac...",https://www.mubawab-media.com/ad/8/312/799F/h/Votre%20texte%20de%20paragraphe%20%285%29_82067288.avif
415 000 TND,À Vendre Superbe Appartement S2 chatt mariem,"Chatt Meriem, Sousse Ville","['140 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Garage', 'Ascenseur', 'Vue sur mer', 'Salon européen', 'Climatisation', 'Chauffage central', 'Sécurité', 'Cuisine équipée']","À Vendre – Superbe Appartement S2 de 140 m² à Chatt Mariem

Découvrez ce spacieux appartement S2 situé au 3ᵉ et dernier étage d’une petite résidence coquette et bien entretenue, offrant un cadre de vie agréable et paisible.

• Vue dégagée sur la mer
• Appartement lumineux et bien aéré
• Espaces généreux et confortables
• Résidence calme et agréable

Un bien idéal pour une résidence principale ou secondaire, alliant tranquillité et proxim...",https://www.mubawab-media.com/ad/8/309/968F/h/613717013_1178105191149193_4214001544139809786_n_82034464.avif
420 000 TND,À vendre – Triplex à Chatt Mariem,"Chatt Meriem, Sousse Ville","['120 m²', '6 Pièces', '3 Chambres', '3 Salles de bains']","['Terrasse', 'Garage', 'Ascenseur', 'Vue sur mer', 'Concierge', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée']","À vendre – Triplex à la Résidence

Superficie : 120 m²
À 400 m de la plage

Résidence avec piscine, sécurisée, parking inclus.

Le bien se compose d’un salon, d’une cuisine équipée, de 3 chambres et de 3 salles de bains. Confort et sécurité garantis.

Prix : 420 000 DT

Visites et informations : sur rendez-vous uniquement
Contact : 55 050 501 / 55 050 502
Agence Immobilière Ezzayatine – Mnchiya",https://www.mubawab-media.com/ad/8/324/787F/h/635081857_1206337464992632_7550153941017879354_n%20%281%29_82192909.avif
360 000 TND,À vendre: appartement s2 pieds dans l'eau,"Chatt Meriem, Sousse Ville","['90 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Jardin', 'Terrasse', 'Garage', 'Ascenseur', 'Vue sur mer', 'Piscine', 'Concierge', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée']","À VENDRE : APPARTEMENT S2 PIEDS DANS L'EAU - CHATT MARIEM

L'Agence Immobilière Ezzayatine vous propose un appartement S2 d'exception bénéficiant d'une vue imprenable sur la mer. Ce bien est situé dans une résidence sécurisée offrant un cadre de vie privilégié.

Caractéristiques du bien :

Type : S2 (Salon  2 chambres)

Stationnement : Place de parking en sous-sol incluse

Loisirs : Accès direct à la plage et piscine privée

État : Ap...",https://www.mubawab-media.com/ad/8/227/673F/h/thumb_62680_property_big_81152283.avif
Prix à consulter,À Louer – Bel Appartement S2 avec Vue Mer,"Sousse Ville, Sousse Ville","['167 m²', '2 Pièces', '3 Chambres', '2 Salles de bains']","['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Façade extérieure', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Cuisine équipée', 'Four']","À Louer – Bel Appartement S2 avec Vue Mer &amp; Parking Sous-sol . 
Emplacement : 2ᵉ étage . Loyer : 2100 DT / mois .
 Place de parking : incluse au sous-sol 
Découvrez ce charmant appartement S2, lumineux et bien agencé, situé au 2ᵉ étage d’une résidence calme et sécurisée, avec une magnifique vue sur la mer. . Composition : Spacieux salon avec vue dégagée 2 chambres confortables Cuisine équipée Salle de bain  toilettes séparées Place de parking...",https://www.mubawab-media.com/ad/8/247/859F/h/7_81363917.avif
450 000 TND,"A VENDRE — S2 Haut Standing, Terrasses et Plage","Chatt Meriem, Sousse Ville","['162 m²', '3 Pièces', '2 Chambres', '2 Salles de bains']","['Terrasse', 'Ascenseur', 'Vue sur mer', 'Piscine', 'Concierge', 'Façade extérieure', 'Antenne parabolique', 'Cheminée', 'Climatisation', 'Chauffage central', 'Sécurité', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'Machine à laver', 'Micro-ondes']","A VENDRE — Appartement S2 d’une superficie d’environ 250 m², situé au 7ème étage d’une résidence sécurisée à Chott Mériem, proche de la plage et de toutes commodités.

Caractéristiques :

Superficie : 250 m²

Agencement : Salon  2 chambres

Grande terrasse avec vue dégagée

Ascenseur fonctionnel

Climatisation et chauffage central

Résidence sécurisée, bon voisinage

Titre foncier individuel vérifié

Prix : Sur demande
Visites...",https://www.mubawab-media.com/ad/8/329/606F/h/Design%20sans%20titre%20%2843%29_82244199.avif
290 000 TND,Opportunité s2  parking prix imbattable,"Chatt Meriem, Sousse Ville","['70 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Ascenseur', 'Concierge', 'Salon européen', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée']","PRIX TRÈS INTÉRESSANT – CHATT MARIEM

Opportunité à saisir : Bel appartement S2 de haut standing d'une superficie de 70 m², disponible immédiatement.

Atouts principaux :

Titre Bleu Individuel (Situation juridique garantie)

Place de parking au sous-sol incluse

Emplacement calme et stratégique

Prix très compétitif sur le marché actuel

Infos &amp; Visites :
Téléphone : 55 050 501 / 55 050 502
Agence Immobilière Ezzayatine",https://www.mubawab-media.com/ad/8/331/396F/h/IMG_2958_82262239.avif
610 000 TND,S4 Haut Standing Khezema Zone Touristique,"Sousse Ville, Sousse Ville","['161 m²', '5 Pièces', '4 Chambres', '2 Salles de bains']","['Garage', 'Vue sur mer', 'Piscine', 'Climatisation', 'Chauffage central', 'Sécurité', 'Cuisine équipée', 'Four']","À vendre S4 dans nouvelle construction de haut standing, à proximité de la zone touristique .
Rue de Beyrout, face à l’hôtel Jaz Tour Khalef – emplacement stratégique, proche du commissariat et de toutes commodités.

⸻

Situé au 2ᵉ étage d’un immeuble moderne de deux étages avec ascenseur.

Caractéristiques du bien :
• Grande cuisine entièrement meublée – meubles haut de gamme Delta Cuisine
• Spacieuse suite parentale avec dressing et salle de ba...",https://www.mubawab-media.com/ad/8/312/814F/h/Votre%20texte%20de%20paragraphe%20%289%29_82067455.avif
320 000 TND,À Vendre – Appartement S2 à Chatt Mariem,"Chatt Meriem, Sousse Ville","['88 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Ascenseur', 'Chauffage central']","À Vendre – Appartement S2 à Chatt Mariem

À vendre appartement S2 situé à Chatt Mariem dans une résidence avec piscine, à seulement 1 minute de la plage et à proximité de toutes les commodités.

• Étage : 1er étage
• Superficie : 90 m²
• Résidence avec piscine
• Accès très proche de la plage
• Quartier calme et pratique

Appartement idéal pour habitation ou investissement locatif dans une zone touristique recherchée.

• Titre bleu dis...",https://www.mubawab-media.com/ad/8/324/734F/h/Sans%20titre%20%28Publication%20Facebook%29%20%283%29_82191480.avif
455 000 TND,Vente Appartement Haut Standing,"Sousse Ville, Sousse Ville","['115 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Ascenseur', 'Concierge', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","OPPORTUNITÉ UNIQUE : CORNICHE SOUSSE

Le confort entre ville et plage

Offrez-vous le privilège d'un appartement neuf idéalement situé au cœur de la Corniche de Sousse. Un emplacement stratégique, parfait pour une résidence principale ou un investissement locatif à forte rentabilité.

L'essentiel en bref :

État : Neuf et Haut Standing (Jamais habité)

Sécurité : Résidence sécurisée 24h/24 et 7j/7

Emplacement Premium : Proximité immé...",https://www.mubawab-media.com/ad/8/330/820F/h/1_82256802.avif
580 000 TND,S2 à vendre Chatt mariem,"Chatt Meriem, Sousse Ville","['90 m²', '1 Pièce', '2 Chambres', '2 Salles de bains']",[],"À VENDRE – Appartement S2 pieds dans l’eau à Chatt Mariem

Appartement situé dans une résidence sécurisée avec accès direct à la plage.

Emplacement : Chatt Mariem
Résidence gardée avec piscine
Parking au sous-sol

Se compose de :
Salon spacieux et lumineux
2 chambres à coucher
Cuisine équipée
Salle de bain

Idéal pour habitation ou investissement locatif

Pour plus d’informations ou visite :
55 66 44 94 / 56 36 25 25

Adresse...",https://www.mubawab-media.com/ad/8/330/188F/h/thumb_1308103_property_large_82250267.avif
200 000 TND,Appartement S2 au plein cœur du Sousse,"Sousse Corniche, Sousse Ville","['67 m²', '2 Pièces', '2 Chambres', '1 Salle de bain']",[],"Appartement Neuf S2 , Haut Standing à Vendre
– première main
Investissement parfait pour (habitation ou location ).
Caractéristiques :
Finitions de qualité
Cuisine ouverte équipée moderne
Chauffage centrale
Ascenseur
Titre individuel
Prix : 200.000 TND
TLF : 52 502 988 / 55 153 800 / 55 444 010
WhatsApp: 52 502 988 /55 153 800 / 55 444 010",https://www.mubawab-media.com/ad/8/219/456F/h/b10d283e-7f39-46cb-af05-b440d1c7c2b3_82025121.avif
140 000 TND,A Vendre Appartement S1 avec meuble,Sousse Ville,"['2 Pièces', '1 Chambre', '1 Salle de bain']","['Concierge', 'Meublé', 'Salon européen', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'Machine à laver', 'Micro-ondes']","À vendre, charmant appartement S1 meublé situé au rez-de-chaussée, idéalement placé à seulement 5 minutes de la mer et de la zone touristique.

Cet appartement lumineux et bien agencé se compose d’un salon confortable entièrement meublé, d’une chambre spacieuse avec rangements, d’une cuisine équipée fonctionnelle ainsi que d’une salle de bain moderne. L’espace a été optimisé pour offrir confort et praticité, que ce soit pour une résidence princ...",
600 000 TND,À vendre: Villa inachevée – Quartier résidentiel,Sousse Ville,"['354 m²', '4 Pièces', '3 Chambres', '2 Salles de bains']","['Jardin', 'Terrasse', 'Garage']","Cette villa inachevée de plain-pied incarne une véritable maison de rêve à façonner selon vos envies. Elle séduit par ses volumes généreux et sa luminosité naturelle, offrant un vaste salon élégant, un séjour chaleureux et trois magnifiques suites parentales conçues pour garantir confort, intimité et bien-être au quotidien.

La cuisine, spacieuse et modulable, permet d’imaginer un espace moderne et raffiné, complété par une salle de bain harmon...",
200 000 TND,Appartement S1 pour la vente direct promoteur,"Bouhssina, Sousse Ville","['574 m²', '2 Pièces', '1 Chambre', '1 Salle de bain']","['Ascenseur', 'Concierge', 'Climatisation', 'Chauffage central', 'Sécurité', 'Porte blindée', 'Cuisine équipée', 'Four']","À vendre : un magnifique appartement S1 haut standing, en vente directe promoteur, situé à l’extension de Sahloul 4, dans un environnement calme et moderne. Ce bien offre une vue attrayante et se distingue par ses finitions de qualité supérieure, son design contemporain et son excellent confort de vie. La résidence est sécurisée et soigneusement entretenue, avec des matériaux nobles et des équipements modernes répondant aux plus hauts standards...",
720 192 TND,A Ventre Duplexe Direct Promoteur,Sousse Ville,"['218 m²', '4 Pièces', '3 Chambres', '2 Salles de bains']","['Terrasse', 'Ascenseur', 'Vue sur mer', 'Concierge', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","magnifique duplex S3 de 218 m², jamais habité et direct promoteur. Situé dans une résidence de très haut standing, il offre de spacieux volumes, une grande terrasse avec vue panoramique. Finitions luxueuses et matériaux de haute gamme. Appartement tout neuf, alliant confort, modernité et élégance",https://www.mubawab-media.com/ad/8/223/100F/h/WhatsApp%20Image%202025-09-24%20at%2014.16.45_81103142.avif
